"n","time(s)","O(log(n))","12.693401909592","O(sqrt(n))","16.687162486593","O(2^n)","0.037061612057798","O(n^4)","0.0033508253410988","O(n!)","1.13E-5"
"3","2.41E-5","1.5849625007212","404.7557295214","1.7320508075689","835.38278243723","8","0.087893747275856","81","0.073654026179548","6","1.9291569257033E-9"
"4","0.000114","2","644.4840199755","2","1113.8379580828","16","0.35149696284583","256","0.73564463667831","24","2.4992029422402E-8"
"5","0.000696","2.3219280948874","868.62651817381","2.2360679774998","1392.2550191817","32","1.404878214411","625","4.3830346673653","120","4.4148500402733E-7"
"6","0.0049","2.5849625007212","1076.3037070087","2.4494897427832","1670.367799807","64","5.6028933766873","1296","18.816245467613","720","1.0644952067379E-5"
"7","0.0391","2.8073549220576","1267.0598619646","2.6457513110646","1945.7787353732","128","22.135014537026","2401","64.099745137039","5040","0.00032539188084923"
"8","0.358","3","1422.9648050442","2.8284271247462","2194.025227955","256","83.352749312573","4096","178.67617028434","40320","0.0098225890002725"
"9","3.64","3.1699250014423","1339.3500754982","3","2154.9544979785","512","235.17895190552","6561","336.53040521481","362880","0.22465777828576"
"10","41.1","3.3219280948874","1.1375682013074","3.1622776601684","136.17585658886","1024","9.915629482461","10000","57.634616271772","3628800","0.0015846596611908"
"MSE","","","878.08528567345","","1430.3472346755","","44.75368844235","","82.618689463224","","0.029550191523292"
"","","","","","","","","","","",""
"Độ phức tạp của Brute Force cho bài toán là n!","","","","","","","","","","",""
