2-OPT,,,,,,,,,,,,,,,,,,,
Size,Time,n^2,0.000848444,n^3,3.39E-06,n^4,1.35E-08,n^5,1.88E-10,2^n,-1.47E-14,log(n),10.7891094,n*log(n),0.02681147,n^2*log(n),1.06E-04,n^3*log(n),4.82E-07
10,0.0017,100,0.006912995,1000,2.87E-06,10000,2.45E-06,100000,2.83E-06,1024,2.89E-06,3.321928095,1284.430025,33.21928095,0.79024591,332.1928095,0.001131434,3321.928095,9.58E-09
20,0.0178,400,0.103412211,8000,8.75E-05,160000,0.000244778,3200000,0.000295838,1048576,0.000316841,4.321928095,2172.674353,86.4385619,5.288826788,1728.771238,0.027588181,34575.42476,1.26E-06
30,0.0719,900,0.47844862,27000,0.000389866,810000,0.003720062,24300000,0.004535129,1073741824,0.005171884,4.906890596,2795.139563,147.2067179,15.01507128,4416.201536,0.158300958,132486.0461,6.41E-05
40,0.138,1600,1.487206503,64000,0.00627781,2560000,0.010717696,102400000,0.014113053,1.10E+12,0.023774638,5.321928095,3281.097432,212.8771238,31.01987265,8515.084952,0.589496191,340603.3981,0.000690088
50,0.344,2500,3.158121972,125000,0.006445276,6250000,0.067514595,312500000,0.081453892,1.13E+15,286.3822863,5.64385619,3666.082329,282.1928095,52.15734388,14109.64047,1.338426199,705482.0237,1.41E-05
70,0.933,4900,10.39660519,343000,0.053467832,24010000,0.37170294,1680700000,0.381728777,1.18E+21,3.02E+14,6.129283017,4250.584268,429.0498112,111.7345462,30033.48678,5.115704746,2102344.075,0.006551127
80,1.62,6400,14.51642808,512000,0.013891223,40960000,1.141523206,3276800000,1.011126599,1.21E+24,3.17E+20,6.321928095,4433.958262,505.7542476,142.5639586,40460.33981,7.203544644,3236827.185,0.00347055
90,1.54,8100,28.43447101,729000,0.873132173,65610000,0.430961952,5904900000,0.187261642,1.24E+27,3.32E+26,6.491853096,4692.429921,584.2667787,199.5170775,52584.01008,16.43158732,4732560.907,0.551255308
100,2.67,10000,33.80773895,1000000,0.524552305,100000000,1.751311656,10000000000,0.631772268,1.27E+30,3.48E+32,6.64385619,4762.558325,664.385619,229.3151533,66438.5619,19.33675968,6643856.19,0.285437862
110,3.52,12100,45.51087917,1331000,0.995524692,146410000,2.397545511,16105100000,0.250037734,1.30E+33,3.65E+38,6.781359714,4850.402603,745.9495685,271.5905563,82054.45253,27.12835081,9025989.779,0.694126429
120,5.53,14400,44.72395195,1728000,0.112413342,207360000,7.494622253,24883200000,0.746503673,1.33E+36,3.83E+44,6.906890596,4759.509478,828.8268715,278.6251038,99459.22458,25.501586,11935106.95,0.051157367
130,6.94,16900,54.74087182,2197000,0.267484308,285610000,9.572179052,37129300000,0.000498807,1.36E+39,4.02E+50,7.022367813,4736.893647,912.9078157,307.5253543,118678.016,32.3112186,15428142.09,0.250835741
140,7.24,19600,88.16283901,2744000,4.300849591,384160000,4.271626159,53782400000,8.094337726,1.39E+42,4.21E+56,7.129283017,4855.109309,998.0996224,381.05064,139733.9471,58.12700127,19562752.6,4.817653535
150,10.7,22500,70.39201804,3375000,0.570972064,506250000,15.07529964,75937500000,12.52797815,1.43E+45,4.42E+62,7.22881869,4528.28267,1084.322804,337.5409922,162648.4205,43.58136819,24397263.08,1.137529571
160,12.9,25600,77.795438,4096000,1.005784889,655360000,16.60345959,1.05E+11,45.73095837,1.46E+48,4.63E+68,7.321928095,4368.824415,1171.508495,342.615113,187441.3592,49.54683297,29990617.48,2.446621216
170,18.2,28900,39.94288248,4913000,2.322580401,835210000,48.34174239,1.42E+11,70.97347821,1.50E+51,4.86E+74,7.409390936,3811.917669,1259.596459,242.4757581,214131.3981,20.95887534,36402337.67,0.414124512
180,18.7,32400,77.25694452,5832000,1.199733224,1049760000,20.826726,1.89E+11,279.9733363,1.53E+54,5.09E+80,7.491853096,3860.189423,1348.533557,304.7177836,242736.0403,50.70702323,43692487.26,5.628469066
190,26.1,36100,20.51036102,6859000,7.945474517,1303210000,73.11276734,2.48E+11,413.3411204,1.57E+57,5.34E+86,7.569855608,3088.24722,1438.272566,155.306485,273271.7875,8.815592796,51921639.62,1.120897682
200,21.6,40000,152.2205462,8000000,30.84778975,1600000000,0.002909648,3.20E+11,1474.950702,1.61E+60,5.60E+92,7.64385619,3705.20568,1528.771238,375.9179932,305754.2476,119.3426617,61150849.52,62.29043446
210,35.1,44100,5.365664611,9261000,13.43779413,1944810000,79.39934145,4.08E+11,1720.871323,1.65E+63,5.87E+98,7.714245518,2316.481388,1619.991559,69.4614841,340198.2273,1.184532618,71441627.74,0.415295235
220,28.4,48400,160.3946414,10648000,59.93978251,2342560000,9.89470345,5.15E+11,4656.532809,1.69E+66,6.16E+104,7.781359714,3086.240388,1711.899137,306.1986558,376617.8101,136.0132412,82855918.23,133.6465811
230,38.6,52900,39.47231462,12167000,7.278984815,2798410000,0.838705057,6.44E+11,6739.041115,1.73E+69,6.46E+110,7.845490051,2120.220346,1804.462712,95.65423875,415026.4237,30.78210666,95456077.45,55.3162471
240,53.3,57600,19.62146693,13824000,40.67572157,3317760000,74.34047699,7.96E+11,9218.276859,1.77E+72,6.77E+116,7.906890596,1024.53176,1897.653743,5.861787815,455436.8983,23.55354949,109304855.6,0.340340068
250,57.1,62500,16.58310432,15625000,16.52170577,3906250000,20.22586266,9.77E+11,15881.29063,1.81E+75,7.10E+122,7.965784285,831.9600752,1991.446071,13.73742099,497861.5178,17.14215835,124465379.4,8.575402317
260,54.8,67600,6.527155155,17576000,23.5954113,4569760000,45.39658333,1.19E+12,28222.215,1.85E+78,7.44E+128,8.022367813,1008.329472,2085.815631,1.2628904,542312.0642,8.341055898,141001136.7,174.329911
,,,40.46441699,,8.499850149,,17.26288999,,2749.885159,,2.98E+127,,3371.652001,,171.0777741,,28.12958778,,18.09292443
,,,,,,,,,,,,,,,,,,,
?? ph?c t?p c?a 2-opt là O(n^3*log(n)),,,,,,,,,,,,,,,,,,,
